City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
401,kalmunai,7.4167,81.8167,300.89,79,95,1.0,LK,1682533752
402,vahdat,38.5563,69.0135,291.56,42,20,9.0,TJ,1682533752
403,xiongzhou,25.1167,114.3,287.47,85,6,0.19,CN,1682533752
404,mount gambier,-37.8333,140.7667,287.1,95,63,1.94,AU,1682533753
405,korla,41.7597,86.1469,287.15,41,49,1.57,CN,1682533753
406,ta'izz,13.5,44.0,294.37,69,39,3.07,YE,1682533753
407,rocky mountain house,52.3668,-114.9188,282.21,49,100,5.66,CA,1682533753
408,mukalla,14.5425,49.1242,301.92,77,28,2.56,YE,1682533754
409,balabac,7.9868,117.0645,301.03,77,91,4.15,PH,1682533754
410,bryne,58.7354,5.6477,277.96,76,40,5.66,NO,1682533754
411,valderice,38.0401,12.6151,288.7,88,0,2.57,IT,1682533755
412,micheweni,-4.9667,39.8333,299.75,81,93,5.81,TZ,1682533755
413,katol,21.2667,78.5833,297.35,62,89,4.71,IN,1682533755
414,arraial do cabo,-22.9661,-42.0278,301.07,69,20,8.23,BR,1682533755
415,preobrazheniye,42.9019,133.9064,276.61,49,1,2.45,RU,1682533756
416,yakymivka,46.6897,35.1536,285.47,78,86,3.76,UA,1682533756
417,bamyan,34.75,67.25,280.68,51,63,1.3,AF,1682533581
418,perene,-10.9492,-75.2261,304.69,43,23,1.89,PE,1682533757
419,al bayda',32.7627,21.7551,287.55,62,3,5.28,LY,1682533757
420,kruisfontein,-34.0033,24.7314,291.97,88,62,2.53,ZA,1682533758
421,ishigaki,24.3448,124.1572,293.22,88,75,4.63,JP,1682533759
422,taoudenni,22.6783,-3.9836,310.35,7,0,8.25,ML,1682533759
423,rambervillers,48.3424,6.6358,284.36,74,79,1.27,FR,1682533759
424,cabo san lucas,22.8909,-109.9124,302.38,58,20,5.14,MX,1682533579
425,kichmengskiy gorodok,59.9816,45.7854,282.65,98,100,1.46,RU,1682533760
426,uturoa,-16.7333,-151.4333,300.58,78,60,4.26,PF,1682533760
427,sitangkai,4.6628,119.3928,302.2,71,98,3.26,PH,1682533760
428,monguno,12.6786,13.6079,306.0,17,76,2.79,NG,1682533761
429,jinka,5.65,36.65,291.04,85,50,0.85,ET,1682533761
430,ghadamis,30.1337,9.5007,302.23,7,0,3.6,LY,1682533761
431,nova vicosa,-17.8919,-39.3719,299.98,71,23,3.36,BR,1682533761
432,prince rupert,54.3161,-130.3201,281.2,77,100,7.2,CA,1682533542
433,sao vicente,-23.9631,-46.3919,298.86,54,75,1.54,BR,1682533762
434,ta`u,-14.2336,-169.5144,301.12,74,62,3.8,AS,1682533762
435,maragogi,-9.0122,-35.2225,301.62,68,78,4.61,BR,1682533734
436,turaif,31.6725,38.6637,295.29,9,0,2.06,SA,1682533763
437,mili,6.0815,171.735,301.05,79,99,8.3,MH,1682533763
438,san pedro pochutla,15.7333,-96.4667,304.1,44,71,3.83,MX,1682533763
439,roma,43.2128,-75.4557,284.47,65,100,1.54,US,1682533498
440,tadjourah,12.0,42.5,304.57,48,21,3.32,DJ,1682533764
441,yarmouth,41.7057,-70.2286,285.35,75,100,4.63,US,1682533764
442,alaghsas,17.0187,8.0168,307.4,9,1,2.39,NE,1682533632
443,antalaha,-14.9003,50.2788,297.55,92,100,2.9,MG,1682533765
444,sydney mines,46.2367,-60.2177,282.14,72,40,4.63,CA,1682533765
445,constitucion,-35.3333,-72.4167,292.53,53,100,4.02,CL,1682533669
446,katsuura,35.1333,140.3,286.7,64,58,10.11,JP,1682533765
447,port saint john's,-31.6229,29.5448,295.46,91,1,4.64,ZA,1682533765
448,pergamino,-33.89,-60.5736,299.26,40,31,2.78,AR,1682533765
449,zaysan,47.4667,84.8667,283.35,49,40,3.64,KZ,1682533766
450,laascaanood,8.4774,47.3597,302.08,48,50,3.16,SO,1682533766
451,pecan plantation,32.3604,-97.6756,291.92,91,100,4.12,US,1682533766
452,bathurst,-33.4166,149.5806,285.28,98,96,1.55,AU,1682533767
453,alesund,62.4723,6.1549,278.57,88,75,6.17,NO,1682533767
454,neelankarai,12.9455,80.2575,303.18,79,20,2.57,IN,1682533768
455,gnesta,59.0475,17.3119,279.96,58,62,3.86,SE,1682533768
456,lahaina,20.8783,-156.6825,298.12,90,89,3.32,US,1682533768
457,jimma,7.6667,36.8333,291.48,79,77,0.64,ET,1682533769
458,jackson,42.4165,-122.8345,295.73,46,0,2.06,US,1682533769
459,ladario,-19.0047,-57.6017,303.31,66,75,2.57,BR,1682533769
460,san jose del guaviare,2.5729,-72.6459,299.11,75,93,2.85,CO,1682533769
461,crete,35.1558,24.895,283.93,84,55,2.52,GR,1682533770
462,bikenibeu village,1.3673,173.1241,300.13,83,40,3.6,KI,1682533770
463,bantogon,6.5333,124.0333,299.24,84,98,1.55,PH,1682533770
464,tunceli,39.1083,39.5471,286.1,66,92,0.88,TR,1682533771
465,hwange,-18.3693,26.5019,295.92,42,20,1.0,ZW,1682533664
466,kuraymah,18.55,31.85,309.12,14,73,7.85,SD,1682533771
467,xining,36.6167,101.7667,282.76,37,88,3.03,CN,1682533771
468,bozeman,45.6796,-111.0386,286.83,49,0,3.13,US,1682533648
469,bechar,31.6167,-2.2167,307.33,10,20,2.06,DZ,1682533773
470,gafargaon,24.4333,90.5667,300.61,36,41,1.7,BD,1682533773
471,shagonar,51.5333,92.8,271.79,82,99,1.72,RU,1682533774
472,assab,13.0092,42.7394,302.41,74,47,7.9,ER,1682533774
473,mexia,31.6799,-96.4822,293.18,86,100,4.63,US,1682533774
474,nikolayevsk-on-amure,53.1406,140.73,272.99,98,100,0.69,RU,1682533775
475,mugango,-1.6833,33.7,295.25,86,54,1.2,TZ,1682533775
476,tapes,-30.6733,-51.3958,294.78,81,74,2.14,BR,1682533775
477,kayangel,8.0823,134.7173,302.02,74,11,4.35,PW,1682533776
478,owando,-0.4819,15.8999,295.78,92,90,5.34,CG,1682533776
479,amlagora,22.8333,87.3333,302.54,46,86,4.06,IN,1682533694
480,cascais,38.6979,-9.4215,299.79,47,0,3.09,PT,1682533498
481,areia branca,-4.9561,-37.1369,303.26,70,82,5.11,BR,1682533777
482,luc-la-primaube,44.3144,2.5355,286.51,88,100,3.09,FR,1682533777
483,nongstoin,25.5167,91.2667,289.18,59,66,1.32,IN,1682533778
484,khartoum,15.5518,32.5324,309.27,27,14,0.41,SD,1682533688
485,sechura,-5.5569,-80.8222,302.83,56,32,3.78,PE,1682533778
486,constantia,44.1833,28.65,284.65,87,98,7.75,RO,1682533588
487,lyambir',54.2817,45.1249,283.95,84,73,7.09,RU,1682533778
488,xiaoweizhai,26.1903,107.5125,286.65,89,89,1.51,CN,1682533779
